image_filename,
processed_1980-01-01_photo_original_001.jpg,"Add matching formal trousers and extend sleeves of the blazer, so its not a vest. Keep everything else as is, don’t touch the mannequin"
processed_1980-01-01_photo_original_003.jpg,"Remove the small metallic brand tag from the chest placket. Keep everything else as is, don’t touch the mannequin"
processed_1980-01-01_photo_original_005.jpg,"Remove the small, star-shaped pin from the left lapel. Keep everything else as is, don’t touch the mannequin"
processed_1980-01-01_photo_original_008.jpg,"Remove the small metallic pin from the left lapel. Keep everything else as is, don’t touch the mannequin"
processed_1980-01-01_photo_original_012.jpg,"Add matching trousers to the attire, make the inner tunic and agbada cuff length. Keep everything else as is, don’t touch the mannequin"
processed_1980-01-01_photo_original_019.jpg,"Remove the small metallic decorative pin from the left lapel. Keep everything else as is, don’t touch the mannequin"
processed_1980-01-01_photo_spiffy_002.jpg,"Remove the small metallic pin from the left lapel. Keep everything else as is, don’t touch the mannequin"
processed_1980-01-01_photo_spiffy_003.jpg,"Remove the small metallic brand pin from the jacket's left lapel. Keep everything else as is, don’t touch the mannequin"
processed_1980-01-01_photo_spiffy_004.jpg,"Remove the small decorative pin from the buttonhole of the left lapel. Keep everything else as is, don’t touch the mannequin"
processed_2024-04-14_photo_original_001.jpg,"Add formal trousers that match the traditional Agbada. Keep everything else as is, don’t touch the mannequin"
processed_2024-04-14_photo_original_002.jpg,"Add formal trousers that match the traditional Agbada. Keep everything else as is, don’t touch the mannequin"
processed_2024-04-14_photo_original_003.jpg,"Add matching trousers to the attire, make the inner tunic and agbada cuff length. Keep everything else as is, don’t touch the mannequin"
processed_2024-04-14_photo_original_004.jpg,"Add formal trousers that match the traditional Agbada. Keep everything else as is, don’t touch the mannequin"
processed_2024-04-14_photo_original_005.jpg,"Add matching trousers to the attire, make the inner tunic and agbada cuff length. Keep everything else as is, don’t touch the mannequin"
processed_2024-04-18_photo_original_003.jpg,"Make agbada longer below knee and add formal trousers that match the traditional Agbada. Keep everything else as is, don’t touch the mannequin"
processed_2024-05-08_photo_original_001.jpg,"Remove the '1/6' image counter watermark from the top right corner. Keep everything else as is, don’t touch the mannequin"
processed_2024-05-27_photo_instasave_003.jpg,"Seamlessly remove the small rectangular gold metallic bar located at the base of chest placket. Keep everything else as is, don’t touch the mannequin"
