image_filename,prompt
processed_1980-01-01_photo_spiffy_004.jpg,"Remove the small decorative pin from the buttonhole of the left lapel. Keep everything else as is, dont touch the mannequin"
processed_2024-04-14_photo_original_004.jpg,"Make the traditional Agbada overflow(the outermost garment with the embroidery) but mannequins hands should still be at sides and not raised. Keep everything else as is, dont touch the mannequin"
processed_2024-05-30_photo_original_003.jpg,"Remove just the square, metallic shiny brand tag from the top center of the left chest pocket. Dont touch anything else Keep everything else as is, dont touch the mannequin"
processed_2024-05-30_photo_original_006.jpg,"Remove ONLY the brand label from the left chest pocket. Keep everything else as is, dont touch the mannequin"
processed_2024-06-08_photo_original_001.jpg,"Add matching trousers to the attire, make both the inner tunic and traditional agbada cuff length. Keep everything else as is, dont touch the mannequin"
processed_2024-07-01_screenshot_instagram_007.jpg,"Make background plain white Keep everything else as is, dont touch the mannequin"
processed_2024-07-02_screenshot_instagram_007.jpg,"Remove ONLY just the small metallic brand label on the right chest, above the pocket. Keep everything else as is, dont touch the mannequin"
processed_2024-07-02_screenshot_instagram_009.jpg,"Remove ONLY just the rectangular gold-toned metallic label or tag from the center placket and add matching trousers Keep everything else as is, dont touch the mannequin"
processed_2024-07-02_screenshot_instagram_010.jpg,Remove the embroidered brand logo on the upper left chest and place full mannequin from head to toe showing in center of image. Keep everything else as is
processed_2024-05-30_photo_original_005.jpg
